stop_name,hour,day_of_week,is_weekend,is_peak_hour,delay_minutes
Nampally,21,1,0,0,2.2
Gandhi Bhavan,21,0,0,0,0.57
Osmania Medical College,21,2,0,0,0.0
Mahatma Gandhi Bus Station,21,0,0,0,0.0
Malakpet,21,4,0,0,2.52
New Market,21,2,0,0,1.15
Musarambagh,21,5,1,0,0.62
Dilsukh Nagar,21,6,1,0,0.08
Chaitanyapuri,21,4,0,0,1.55
Victoria Memorial,21,6,1,0,0.07
L. B. Nagar,21,0,0,0,0.07
Miyapur,20,2,0,1,2.4
JNTU College,20,1,0,1,0.0
KPHB Colony,20,6,1,1,1.78
Kukatpally,20,6,1,1,1.9
Balanagar,20,5,1,1,5.48
Moosapet,20,3,0,1,3.62
Bharat Nagar,20,0,0,1,1.3
Erragadda,20,2,0,1,0.0
ESI Hospital,20,4,0,1,4.75
S. R. Nagar,20,2,0,1,1.97
Ameerpet,20,1,0,1,6.43
Panjagutta,20,2,0,1,0.0
Erra Manzil,21,4,0,0,0.0
Khairatabad,21,0,0,0,2.53
Lakdi-ka-pul,21,5,1,0,0.75
Assembly,21,4,0,0,0.0
Nampally,21,5,1,0,0.3
Gandhi Bhavan,21,5,1,0,0.0
Osmania Medical College,21,4,0,0,0.6
Mahatma Gandhi Bus Station,21,4,0,0,0.0
Malakpet,21,3,0,0,0.0
New Market,21,5,1,0,0.13
Musarambagh,21,0,0,0,0.68
Dilsukh Nagar,21,3,0,0,0.82
Chaitanyapuri,21,5,1,0,0.0
Victoria Memorial,21,2,0,0,0.07
L. B. Nagar,21,0,0,0,0.0
Miyapur,20,0,0,1,5.83
JNTU College,20,5,1,1,4.5
KPHB Colony,20,2,0,1,0.0
Kukatpally,20,2,0,1,2.5
Balanagar,20,4,0,1,5.13
Moosapet,20,5,1,1,2.8
Bharat Nagar,20,5,1,1,2.8
Erragadda,20,0,0,1,2.43
ESI Hospital,20,6,1,1,3.85
S. R. Nagar,21,1,0,0,0.0
Ameerpet,21,5,1,0,0.0
Panjagutta,21,4,0,0,1.8
Erra Manzil,21,0,0,0,0.93
Khairatabad,21,2,0,0,0.48
Lakdi-ka-pul,21,2,0,0,0.68
Assembly,21,1,0,0,1.45
Nampally,21,0,0,0,2.1
Gandhi Bhavan,21,3,0,0,0.1
Osmania Medical College,21,4,0,0,0.48
Mahatma Gandhi Bus Station,21,0,0,0,1.48
Malakpet,21,3,0,0,0.0
New Market,21,2,0,0,0.4
Musarambagh,21,2,0,0,0.0
Dilsukh Nagar,21,3,0,0,0.92
Chaitanyapuri,21,3,0,0,8.53
Victoria Memorial,21,1,0,0,0.67
L. B. Nagar,21,0,0,0,0.23
Miyapur,20,2,0,1,0.0
JNTU College,20,4,0,1,3.98
KPHB Colony,20,2,0,1,0.0
Kukatpally,20,0,0,1,3.38
Balanagar,20,3,0,1,5.38
Moosapet,21,1,0,0,0.47
Bharat Nagar,21,6,1,0,1.42
Erragadda,21,2,0,0,0.6
ESI Hospital,21,1,0,0,1.57
S. R. Nagar,21,3,0,0,1.45
Ameerpet,21,5,1,0,3.8
Panjagutta,21,0,0,0,2.8
Erra Manzil,21,2,0,0,0.87
Khairatabad,21,0,0,0,0.27
Lakdi-ka-pul,21,4,0,0,0.5
Assembly,21,0,0,0,1.42
Nampally,21,6,1,0,1.05
Gandhi Bhavan,21,5,1,0,0.18
Osmania Medical College,21,3,0,0,0.05
Mahatma Gandhi Bus Station,21,3,0,0,1.13
Malakpet,21,4,0,0,0.28
New Market,21,6,1,0,0.68
Musarambagh,21,0,0,0,1.37
Dilsukh Nagar,21,5,1,0,0.82
Chaitanyapuri,21,3,0,0,0.08
Victoria Memorial,21,3,0,0,0.2
L. B. Nagar,21,3,0,0,0.23
Miyapur,20,3,0,1,3.55
JNTU College,20,1,0,1,2.5
KPHB Colony,21,6,1,0,0.07
Kukatpally,21,2,0,0,0.18
Balanagar,21,1,0,0,4.15
Moosapet,21,3,0,0,0.62
Bharat Nagar,21,6,1,0,2.02
Erragadda,21,5,1,0,1.88
ESI Hospital,21,0,0,0,0.7
S. R. Nagar,21,1,0,0,1.22
Ameerpet,21,4,0,0,2.58
Panjagutta,21,2,0,0,0.32
Erra Manzil,21,0,0,0,1.78
Khairatabad,21,1,0,0,0.08
Lakdi-ka-pul,21,2,0,0,1.48
Assembly,21,6,1,0,0.1
Nampally,21,5,1,0,2.12
Gandhi Bhavan,21,6,1,0,0.35
Osmania Medical College,21,1,0,0,0.0
Mahatma Gandhi Bus Station,21,4,0,0,0.67
Malakpet,21,3,0,0,0.45
New Market,21,4,0,0,1.03
Musarambagh,21,3,0,0,0.0
Dilsukh Nagar,21,2,0,0,0.03
Chaitanyapuri,21,1,0,0,2.5
Victoria Memorial,21,1,0,0,0.93
L. B. Nagar,21,4,0,0,1.63
Miyapur,21,0,0,0,0.48
JNTU College,21,2,0,0,0.63
KPHB Colony,21,5,1,0,2.02
Kukatpally,21,3,0,0,0.53
Balanagar,21,6,1,0,0.75
Moosapet,21,2,0,0,0.0
Bharat Nagar,21,6,1,0,0.17
Erragadda,21,5,1,0,0.0
ESI Hospital,21,4,0,0,1.25
S. R. Nagar,21,5,1,0,0.87
Ameerpet,21,1,0,0,2.03
Panjagutta,21,3,0,0,0.43
Erra Manzil,21,3,0,0,0.68
Khairatabad,21,5,1,0,2.03
Lakdi-ka-pul,21,3,0,0,1.48
Assembly,21,3,0,0,0.08
Nampally,21,2,0,0,0.0
Gandhi Bhavan,21,2,0,0,0.63
Osmania Medical College,21,5,1,0,1.35
Mahatma Gandhi Bus Station,21,6,1,0,0.15
Malakpet,21,6,1,0,0.0
New Market,21,4,0,0,0.0
Musarambagh,21,5,1,0,0.57
Dilsukh Nagar,21,5,1,0,0.02
Chaitanyapuri,21,6,1,0,0.15
Victoria Memorial,21,1,0,0,0.08
L. B. Nagar,21,5,1,0,0.27
Miyapur,21,5,1,0,0.1
JNTU College,21,1,0,0,1.17
KPHB Colony,21,2,0,0,0.02
Kukatpally,21,4,0,0,0.95
Balanagar,21,6,1,0,0.15
Moosapet,21,0,0,0,2.9
Bharat Nagar,21,5,1,0,2.7
Erragadda,21,5,1,0,0.25
ESI Hospital,21,5,1,0,0.95
S. R. Nagar,21,3,0,0,0.02
Ameerpet,21,5,1,0,0.0
Panjagutta,21,1,0,0,0.03
Erra Manzil,21,3,0,0,0.42
Khairatabad,21,1,0,0,0.07
Lakdi-ka-pul,21,5,1,0,0.48
Assembly,21,0,0,0,1.1
Nampally,21,6,1,0,0.63
Gandhi Bhavan,21,5,1,0,0.48
Osmania Medical College,21,1,0,0,0.0
Mahatma Gandhi Bus Station,21,5,1,0,0.27
Malakpet,21,0,0,0,0.1
New Market,21,1,0,0,1.63
Musarambagh,21,2,0,0,0.13
Dilsukh Nagar,21,3,0,0,0.9
Chaitanyapuri,21,4,0,0,0.42
Victoria Memorial,21,4,0,0,0.25
L. B. Nagar,21,1,0,0,1.02
L. B. Nagar,22,4,0,0,0.6
Victoria Memorial,22,5,1,0,0.5
Chaitanyapuri,22,3,0,0,0.88
Dilsukh Nagar,22,2,0,0,0.67
Musarambagh,22,2,0,0,0.35
New Market,22,0,0,0,0.82
Malakpet,22,4,0,0,1.1
Mahatma Gandhi Bus Station,22,5,1,0,0.02
Osmania Medical College,22,3,0,0,0.62
Gandhi Bhavan,22,4,0,0,0.05
Nampally,22,3,0,0,0.2
Assembly,22,6,1,0,0.82
Lakdi-ka-pul,22,0,0,0,2.0
Khairatabad,22,6,1,0,2.13
Erra Manzil,22,5,1,0,0.07
Panjagutta,22,6,1,0,0.53
Ameerpet,22,4,0,0,2.17
S. R. Nagar,22,6,1,0,1.45
ESI Hospital,22,2,0,0,1.35
Erragadda,22,0,0,0,0.0
Bharat Nagar,22,5,1,0,0.0
Moosapet,22,6,1,0,0.0
Balanagar,22,4,0,0,1.75
Kukatpally,22,2,0,0,1.1
KPHB Colony,22,2,0,0,2.23
JNTU College,22,3,0,0,0.05
Miyapur,22,2,0,0,0.9
Miyapur,21,1,0,0,0.83
JNTU College,21,6,1,0,0.03
KPHB Colony,21,4,0,0,0.72
Kukatpally,21,4,0,0,0.0
Balanagar,21,3,0,0,0.0
Moosapet,21,2,0,0,0.32
Bharat Nagar,21,3,0,0,0.0
Erragadda,21,1,0,0,0.62
ESI Hospital,21,3,0,0,0.0
S. R. Nagar,21,4,0,0,0.42
Ameerpet,21,5,1,0,3.27
Panjagutta,21,5,1,0,2.42
Erra Manzil,21,3,0,0,0.0
Khairatabad,21,4,0,0,0.0
Lakdi-ka-pul,21,0,0,0,0.12
Assembly,21,1,0,0,0.0
Nampally,21,6,1,0,0.32
Gandhi Bhavan,21,1,0,0,0.3
Osmania Medical College,21,4,0,0,1.7
Mahatma Gandhi Bus Station,21,5,1,0,1.23
Malakpet,21,0,0,0,3.98
New Market,21,2,0,0,1.23
Musarambagh,21,3,0,0,0.53
Dilsukh Nagar,21,6,1,0,1.2
Chaitanyapuri,21,6,1,0,7.52
Victoria Memorial,22,2,0,0,1.23
L. B. Nagar,22,6,1,0,1.43
L. B. Nagar,22,0,0,0,0.0
Victoria Memorial,22,1,0,0,0.12
Chaitanyapuri,22,2,0,0,0.0
Dilsukh Nagar,22,0,0,0,1.9
Musarambagh,22,1,0,0,3.08
New Market,22,5,1,0,0.0
Malakpet,22,2,0,0,0.7
Mahatma Gandhi Bus Station,22,6,1,0,1.13
Osmania Medical College,22,5,1,0,0.28
Gandhi Bhavan,22,1,0,0,0.92
Nampally,22,4,0,0,0.28
Assembly,22,6,1,0,0.4
Lakdi-ka-pul,22,1,0,0,0.57
Khairatabad,22,1,0,0,0.75
Erra Manzil,22,6,1,0,0.58
Panjagutta,22,0,0,0,0.67
Ameerpet,22,0,0,0,1.67
S. R. Nagar,22,3,0,0,0.03
ESI Hospital,22,6,1,0,0.22
Erragadda,22,0,0,0,0.87
Bharat Nagar,22,4,0,0,1.53
Moosapet,22,4,0,0,0.0
Balanagar,22,5,1,0,0.1
Kukatpally,22,1,0,0,1.38
KPHB Colony,22,0,0,0,0.35
JNTU College,22,6,1,0,3.02
Miyapur,22,6,1,0,1.25
Miyapur,21,6,1,0,0.38
JNTU College,21,3,0,0,0.33
KPHB Colony,21,0,0,0,0.73
Kukatpally,21,6,1,0,0.07
Balanagar,21,3,0,0,0.12
Moosapet,21,1,0,0,0.0
Bharat Nagar,21,6,1,0,1.48
Erragadda,21,6,1,0,0.72
ESI Hospital,21,5,1,0,0.0
S. R. Nagar,21,5,1,0,1.12
Ameerpet,21,4,0,0,2.57
Panjagutta,21,0,0,0,0.23
Erra Manzil,21,0,0,0,0.0
Khairatabad,21,4,0,0,0.0
Lakdi-ka-pul,21,4,0,0,0.07
Assembly,21,5,1,0,0.33
Nampally,21,5,1,0,0.27
Gandhi Bhavan,21,5,1,0,0.0
Osmania Medical College,21,2,0,0,0.47
Mahatma Gandhi Bus Station,21,2,0,0,1.7
Malakpet,21,2,0,0,2.43
New Market,22,4,0,0,0.22
Musarambagh,22,2,0,0,0.77
Dilsukh Nagar,22,0,0,0,1.0
Chaitanyapuri,22,4,0,0,0.73
Victoria Memorial,22,0,0,0,0.57
L. B. Nagar,22,4,0,0,0.0
L. B. Nagar,22,6,1,0,0.67
Victoria Memorial,22,1,0,0,0.5
Chaitanyapuri,22,0,0,0,1.58
Dilsukh Nagar,22,6,1,0,1.43
Musarambagh,22,4,0,0,0.13
New Market,22,3,0,0,0.08
Malakpet,22,4,0,0,0.0
Mahatma Gandhi Bus Station,22,1,0,0,0.0
Osmania Medical College,22,4,0,0,0.0
Gandhi Bhavan,22,1,0,0,0.0
Nampally,22,2,0,0,0.73
Assembly,22,0,0,0,0.77
Lakdi-ka-pul,22,1,0,0,1.97
Khairatabad,22,3,0,0,0.1
Erra Manzil,22,0,0,0,0.27
Panjagutta,22,4,0,0,0.52
Ameerpet,22,4,0,0,4.88
S. R. Nagar,22,1,0,0,4.92
ESI Hospital,22,6,1,0,3.18
Erragadda,22,3,0,0,0.0
Bharat Nagar,22,1,0,0,0.0
Moosapet,22,6,1,0,0.15
Balanagar,22,3,0,0,0.0
Kukatpally,22,5,1,0,1.77
KPHB Colony,22,1,0,0,0.0
JNTU College,22,2,0,0,0.2
Miyapur,23,2,0,0,0.97
Miyapur,21,2,0,0,2.48
JNTU College,21,1,0,0,0.62
KPHB Colony,21,6,1,0,0.1
Kukatpally,21,0,0,0,0.0
Balanagar,21,4,0,0,0.47
Moosapet,21,0,0,0,0.85
Bharat Nagar,21,4,0,0,0.57
Erragadda,21,3,0,0,0.02
ESI Hospital,21,2,0,0,5.1
S. R. Nagar,21,2,0,0,0.78
Ameerpet,21,4,0,0,3.55
Panjagutta,21,2,0,0,0.17
Erra Manzil,21,0,0,0,0.0
Khairatabad,21,1,0,0,1.65
Lakdi-ka-pul,21,2,0,0,0.3
Assembly,21,5,1,0,1.6
Nampally,21,6,1,0,0.32
Gandhi Bhavan,21,6,1,0,0.0
Osmania Medical College,22,2,0,0,0.72
Mahatma Gandhi Bus Station,22,5,1,0,0.22
Malakpet,22,3,0,0,1.42
New Market,22,1,0,0,1.02
Musarambagh,22,4,0,0,2.57
Dilsukh Nagar,22,1,0,0,1.52
Chaitanyapuri,22,1,0,0,0.18
Victoria Memorial,22,4,0,0,1.6
L. B. Nagar,22,1,0,0,1.02
L. B. Nagar,22,3,0,0,1.1
Victoria Memorial,22,5,1,0,1.78
Chaitanyapuri,22,0,0,0,0.0
Dilsukh Nagar,22,1,0,0,0.62
Musarambagh,22,0,0,0,1.0
New Market,22,3,0,0,0.35
Malakpet,22,3,0,0,0.2
Mahatma Gandhi Bus Station,22,6,1,0,0.95
Osmania Medical College,22,6,1,0,0.25
Gandhi Bhavan,22,1,0,0,0.0
Nampally,22,2,0,0,0.0
Assembly,22,1,0,0,0.93
Lakdi-ka-pul,22,0,0,0,0.0
Khairatabad,22,3,0,0,1.38
Erra Manzil,22,0,0,0,0.47
Panjagutta,22,0,0,0,0.65
Ameerpet,22,6,1,0,2.82
S. R. Nagar,22,4,0,0,0.43
ESI Hospital,22,3,0,0,3.32
Erragadda,22,3,0,0,2.75
Bharat Nagar,22,0,0,0,1.88
Moosapet,22,5,1,0,2.52
Balanagar,22,3,0,0,0.58
Kukatpally,23,5,1,0,0.77
KPHB Colony,23,5,1,0,1.35
JNTU College,23,1,0,0,0.0
Miyapur,23,4,0,0,2.2
Miyapur,21,1,0,0,1.25
JNTU College,21,6,1,0,6.15
KPHB Colony,21,2,0,0,0.42
Kukatpally,21,2,0,0,1.78
Balanagar,21,5,1,0,1.18
Moosapet,21,0,0,0,1.17
Bharat Nagar,21,5,1,0,0.38
Erragadda,21,2,0,0,1.53
ESI Hospital,21,1,0,0,2.3
S. R. Nagar,21,2,0,0,0.23
Ameerpet,21,0,0,0,2.75
Panjagutta,21,3,0,0,4.55
Erra Manzil,21,4,0,0,0.65
Khairatabad,21,0,0,0,0.25
Lakdi-ka-pul,22,0,0,0,0.47
Assembly,22,0,0,0,0.0
Nampally,22,1,0,0,0.07
Gandhi Bhavan,22,3,0,0,0.92
Osmania Medical College,22,0,0,0,2.67
Mahatma Gandhi Bus Station,22,3,0,0,1.88
Malakpet,22,5,1,0,0.07
New Market,22,6,1,0,5.02
Musarambagh,22,6,1,0,0.0
Dilsukh Nagar,22,0,0,0,0.17
Chaitanyapuri,22,1,0,0,0.0
Victoria Memorial,22,0,0,0,0.18
L. B. Nagar,22,6,1,0,0.0
L. B. Nagar,22,5,1,0,0.02
Victoria Memorial,22,2,0,0,0.25
Chaitanyapuri,22,1,0,0,1.4
Dilsukh Nagar,22,6,1,0,0.87
Musarambagh,22,0,0,0,1.52
New Market,22,0,0,0,1.37
Malakpet,22,0,0,0,0.05
Mahatma Gandhi Bus Station,22,2,0,0,2.22
Osmania Medical College,22,2,0,0,0.25
Gandhi Bhavan,22,6,1,0,0.8
Nampally,22,0,0,0,1.03
Assembly,22,6,1,0,0.18
Lakdi-ka-pul,22,2,0,0,3.73
Khairatabad,22,0,0,0,0.67
Erra Manzil,22,2,0,0,0.05
Panjagutta,22,3,0,0,2.77
Ameerpet,22,5,1,0,3.27
S. R. Nagar,22,6,1,0,0.73
ESI Hospital,22,0,0,0,1.8
Erragadda,23,5,1,0,0.03
Bharat Nagar,23,0,0,0,0.3
Moosapet,23,4,0,0,0.63
Balanagar,23,4,0,0,0.07
Kukatpally,23,1,0,0,1.22
KPHB Colony,23,3,0,0,0.5
JNTU College,23,3,0,0,0.32
Miyapur,23,1,0,0,0.0
Miyapur,21,4,0,0,1.27
JNTU College,21,6,1,0,0.0
KPHB Colony,21,1,0,0,0.5
Kukatpally,21,4,0,0,0.82
Balanagar,21,6,1,0,0.0
Moosapet,21,0,0,0,0.0
Bharat Nagar,21,5,1,0,0.0
Erragadda,21,1,0,0,0.67
ESI Hospital,21,2,0,0,1.03
S. R. Nagar,21,5,1,0,2.5
Ameerpet,21,4,0,0,3.0
Panjagutta,22,0,0,0,0.9
Erra Manzil,22,6,1,0,0.0
Khairatabad,22,2,0,0,0.0
Lakdi-ka-pul,22,2,0,0,0.38
Assembly,22,6,1,0,2.17
Nampally,22,3,0,0,0.05
Gandhi Bhavan,22,4,0,0,0.0
Osmania Medical College,22,0,0,0,0.08
Mahatma Gandhi Bus Station,22,4,0,0,1.85
Malakpet,22,0,0,0,0.0
New Market,22,6,1,0,1.97
Musarambagh,22,5,1,0,0.6
Dilsukh Nagar,22,4,0,0,0.0
Chaitanyapuri,22,5,1,0,0.5
Victoria Memorial,22,2,0,0,0.2
L. B. Nagar,22,3,0,0,0.97
L. B. Nagar,22,6,1,0,1.13
Victoria Memorial,22,5,1,0,0.67
Chaitanyapuri,22,6,1,0,0.03
Dilsukh Nagar,22,1,0,0,1.07
Musarambagh,22,4,0,0,1.83
New Market,22,2,0,0,1.27
Malakpet,22,6,1,0,1.77
Mahatma Gandhi Bus Station,22,1,0,0,0.22
Osmania Medical College,22,5,1,0,0.0
Gandhi Bhavan,22,1,0,0,0.38
Nampally,22,1,0,0,0.0
Assembly,22,5,1,0,1.85
Lakdi-ka-pul,22,2,0,0,2.83
Khairatabad,22,5,1,0,1.05
Erra Manzil,22,0,0,0,0.25
Panjagutta,23,1,0,0,0.28
Ameerpet,23,3,0,0,3.42
S. R. Nagar,23,6,1,0,0.15
ESI Hospital,23,0,0,0,1.73
Erragadda,23,2,0,0,0.0
Bharat Nagar,23,1,0,0,1.65
Moosapet,23,2,0,0,2.52
Balanagar,23,2,0,0,0.55
Kukatpally,23,1,0,0,0.45
KPHB Colony,23,2,0,0,1.62
JNTU College,23,6,1,0,0.0
Miyapur,23,6,1,0,0.0
Miyapur,21,3,0,0,0.97
JNTU College,21,3,0,0,0.15
KPHB Colony,21,4,0,0,1.85
Kukatpally,21,6,1,0,0.0
Balanagar,21,1,0,0,2.68
Moosapet,21,1,0,0,0.28
Bharat Nagar,21,6,1,0,0.0
Erragadda,21,1,0,0,0.33
ESI Hospital,22,4,0,0,0.37
S. R. Nagar,22,5,1,0,0.37
Ameerpet,22,3,0,0,3.48
Panjagutta,22,3,0,0,2.13
Erra Manzil,22,1,0,0,0.37
Khairatabad,22,2,0,0,1.17
Lakdi-ka-pul,22,0,0,0,1.38
Assembly,22,0,0,0,0.15
Nampally,22,1,0,0,0.5
Gandhi Bhavan,22,1,0,0,0.65
Osmania Medical College,22,3,0,0,0.43
Mahatma Gandhi Bus Station,22,6,1,0,0.38
Malakpet,22,3,0,0,1.15
New Market,22,2,0,0,0.23
Musarambagh,22,3,0,0,1.23
Dilsukh Nagar,22,0,0,0,2.73
Chaitanyapuri,22,6,1,0,0.82
Victoria Memorial,22,0,0,0,0.93
L. B. Nagar,22,3,0,0,0.07
L. B. Nagar,22,0,0,0,1.98
Victoria Memorial,22,5,1,0,0.0
Chaitanyapuri,22,0,0,0,0.95
Dilsukh Nagar,22,0,0,0,3.87
Musarambagh,22,0,0,0,0.9
New Market,22,4,0,0,1.28
Malakpet,22,1,0,0,0.58
Mahatma Gandhi Bus Station,22,6,1,0,0.05
Osmania Medical College,22,2,0,0,0.0
Gandhi Bhavan,22,4,0,0,0.03
Nampally,22,6,1,0,1.2
Assembly,22,2,0,0,0.0
Lakdi-ka-pul,23,4,0,0,1.97
Khairatabad,23,4,0,0,0.17
Erra Manzil,23,2,0,0,0.72
Panjagutta,23,1,0,0,0.9
Ameerpet,23,6,1,0,2.28
S. R. Nagar,23,3,0,0,0.62
ESI Hospital,23,4,0,0,0.37
Erragadda,23,6,1,0,0.57
Bharat Nagar,23,6,1,0,0.43
Moosapet,23,1,0,0,0.83
Balanagar,23,3,0,0,0.27
Kukatpally,23,6,1,0,4.47
KPHB Colony,23,2,0,0,0.68
JNTU College,23,4,0,0,0.2
Miyapur,23,3,0,0,0.63
Miyapur,21,1,0,0,2.0
JNTU College,21,6,1,0,0.02
KPHB Colony,21,3,0,0,1.13
Kukatpally,21,2,0,0,0.78
Balanagar,22,3,0,0,0.18
Moosapet,22,0,0,0,1.7
Bharat Nagar,22,4,0,0,0.45
Erragadda,22,1,0,0,0.33
ESI Hospital,22,5,1,0,1.75
S. R. Nagar,22,1,0,0,1.02
Ameerpet,22,4,0,0,4.53
Panjagutta,22,4,0,0,1.35
Erra Manzil,22,0,0,0,1.8
Khairatabad,22,0,0,0,0.05
Lakdi-ka-pul,22,1,0,0,1.48
Assembly,22,5,1,0,0.95
Nampally,22,3,0,0,0.07
Gandhi Bhavan,22,5,1,0,0.7
Osmania Medical College,22,4,0,0,0.0
Mahatma Gandhi Bus Station,22,0,0,0,1.32
Malakpet,22,0,0,0,0.78
New Market,22,0,0,0,3.07
Musarambagh,22,3,0,0,0.2
Dilsukh Nagar,22,6,1,0,0.92
Chaitanyapuri,22,1,0,0,0.23
Victoria Memorial,22,5,1,0,0.95
L. B. Nagar,22,6,1,0,1.27
L. B. Nagar,22,1,0,0,1.27
Victoria Memorial,22,0,0,0,1.68
Chaitanyapuri,22,3,0,0,1.92
Dilsukh Nagar,22,3,0,0,0.0
Musarambagh,22,1,0,0,0.42
New Market,22,4,0,0,0.0
Malakpet,22,0,0,0,0.68
Mahatma Gandhi Bus Station,22,3,0,0,0.0
Osmania Medical College,22,4,0,0,0.8
Gandhi Bhavan,23,2,0,0,0.0
Nampally,23,5,1,0,0.48
Assembly,23,0,0,0,1.65
Lakdi-ka-pul,23,5,1,0,0.52
Khairatabad,23,2,0,0,0.0
Erra Manzil,23,1,0,0,0.05
Panjagutta,23,1,0,0,1.93
Ameerpet,23,5,1,0,5.6
S. R. Nagar,23,1,0,0,0.45
ESI Hospital,23,6,1,0,2.78
Erragadda,23,5,1,0,0.0
Bharat Nagar,23,3,0,0,1.85
Moosapet,23,3,0,0,1.45
Balanagar,23,4,0,0,0.47
Kukatpally,23,2,0,0,0.65
KPHB Colony,23,1,0,0,0.2
JNTU College,23,1,0,0,0.33
Miyapur,23,3,0,0,1.5
Miyapur,21,3,0,0,2.23
JNTU College,22,3,0,0,1.28
KPHB Colony,22,0,0,0,0.62
Kukatpally,22,2,0,0,0.08
Balanagar,22,2,0,0,0.05
Moosapet,22,0,0,0,0.47
Bharat Nagar,22,1,0,0,0.62
Erragadda,22,5,1,0,0.93
ESI Hospital,22,6,1,0,0.0
S. R. Nagar,22,6,1,0,4.57
Ameerpet,22,5,1,0,0.0
Panjagutta,22,4,0,0,0.75
Erra Manzil,22,4,0,0,0.13
Khairatabad,22,1,0,0,1.58
Lakdi-ka-pul,22,4,0,0,1.23
Assembly,22,3,0,0,0.73
Nampally,22,2,0,0,0.72
Gandhi Bhavan,22,5,1,0,0.0
Osmania Medical College,22,3,0,0,1.07
Mahatma Gandhi Bus Station,22,4,0,0,2.42
Malakpet,22,4,0,0,0.08
New Market,22,2,0,0,0.3
Musarambagh,22,6,1,0,2.32
Dilsukh Nagar,22,5,1,0,0.33
Chaitanyapuri,22,6,1,0,1.05
Victoria Memorial,22,3,0,0,0.75
L. B. Nagar,22,2,0,0,0.9
L. B. Nagar,22,5,1,0,0.53
Victoria Memorial,22,4,0,0,0.35
Chaitanyapuri,22,6,1,0,0.03
Dilsukh Nagar,22,5,1,0,1.35
Musarambagh,22,2,0,0,1.37
New Market,23,2,0,0,1.1
Malakpet,23,4,0,0,1.02
Mahatma Gandhi Bus Station,23,6,1,0,0.27
Osmania Medical College,23,2,0,0,0.02
Gandhi Bhavan,23,3,0,0,1.65
Nampally,23,6,1,0,0.0
Assembly,23,4,0,0,0.35
Lakdi-ka-pul,23,2,0,0,0.0
Khairatabad,23,1,0,0,0.05
Erra Manzil,23,3,0,0,0.42
Panjagutta,23,3,0,0,1.63
Ameerpet,23,3,0,0,5.3
S. R. Nagar,23,5,1,0,2.52
ESI Hospital,23,0,0,0,2.37
Erragadda,23,4,0,0,0.73
Bharat Nagar,23,0,0,0,0.23
Moosapet,23,2,0,0,1.58
Balanagar,23,4,0,0,0.23
Kukatpally,23,5,1,0,0.3
KPHB Colony,23,3,0,0,0.25
JNTU College,23,3,0,0,0.72
Miyapur,23,5,1,0,0.38
Miyapur,22,6,1,0,0.17
JNTU College,22,3,0,0,0.6
KPHB Colony,22,3,0,0,2.07
Kukatpally,22,2,0,0,0.83
Balanagar,22,6,1,0,2.1
Moosapet,22,6,1,0,0.22
Bharat Nagar,22,1,0,0,0.17
Erragadda,22,5,1,0,0.85
ESI Hospital,22,4,0,0,0.62
S. R. Nagar,22,6,1,0,0.0
Ameerpet,22,1,0,0,4.08
Panjagutta,22,5,1,0,0.0
Erra Manzil,22,4,0,0,0.0
Khairatabad,22,5,1,0,0.22
Lakdi-ka-pul,22,3,0,0,0.8
Assembly,22,5,1,0,0.12
Nampally,22,6,1,0,0.33
Gandhi Bhavan,22,0,0,0,0.22
Osmania Medical College,22,6,1,0,0.5
Mahatma Gandhi Bus Station,22,2,0,0,0.0
Malakpet,22,4,0,0,0.0
New Market,22,3,0,0,1.07
Musarambagh,22,0,0,0,0.93
Dilsukh Nagar,23,3,0,0,1.22
Chaitanyapuri,23,6,1,0,1.07
Victoria Memorial,23,2,0,0,0.12
L. B. Nagar,23,6,1,0,0.33
Miyapur,22,6,1,0,0.13
JNTU College,22,0,0,0,1.85
KPHB Colony,22,5,1,0,1.37
Kukatpally,22,4,0,0,0.22
Balanagar,22,5,1,0,0.0
Moosapet,22,4,0,0,3.38
Bharat Nagar,22,6,1,0,0.9
Erragadda,22,5,1,0,1.6
ESI Hospital,22,4,0,0,0.3
S. R. Nagar,22,4,0,0,0.23
Ameerpet,22,0,0,0,3.9
Panjagutta,22,2,0,0,0.0
Erra Manzil,22,0,0,0,0.8
Khairatabad,22,4,0,0,0.82
Lakdi-ka-pul,22,2,0,0,1.32
Assembly,22,1,0,0,0.3
Nampally,22,1,0,0,0.43
Gandhi Bhavan,23,6,1,0,2.05
Osmania Medical College,23,5,1,0,0.37
Mahatma Gandhi Bus Station,23,0,0,0,0.78
Malakpet,23,4,0,0,1.2
New Market,23,5,1,0,9.48
Musarambagh,23,1,0,0,0.0
Dilsukh Nagar,23,1,0,0,0.0
Chaitanyapuri,23,6,1,0,1.83
Victoria Memorial,23,3,0,0,1.63
L. B. Nagar,23,3,0,0,1.3
Miyapur,22,5,1,0,0.62
JNTU College,22,6,1,0,0.38
KPHB Colony,22,5,1,0,0.93
Kukatpally,22,2,0,0,0.0
Balanagar,22,2,0,0,2.15
Moosapet,22,4,0,0,0.0
Bharat Nagar,22,1,0,0,0.55
Erragadda,22,0,0,0,0.62
ESI Hospital,22,0,0,0,3.78
S. R. Nagar,22,3,0,0,1.12
Ameerpet,22,6,1,0,0.0
Panjagutta,22,6,1,0,0.0
Erra Manzil,23,6,1,0,0.1
Khairatabad,23,2,0,0,1.78
